Rank,TOP500 Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Power (kW),Power Source,Power Effeciency [GFlops/Watts],Power Source,Power Quality Level,Measured Cores,Optimized Run (HPL),Optimized Run (Peak Power),Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent,Site ID,System ID
371,211,,"Inspur SA5212M4, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet",Internet Service A,Inspur,China,2017,Industry,57600,,1106,2304,,,,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,Linux,Linux,None,16,Intel Xeon E5 (Broadwell),Inspur SA5212M4,Inspur Cluster,10G,10G Ethernet,Eastern Asia,Asia,50596,179222
372,212,,"Inspur SA5212M4, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet",Internet Service A,Inspur,China,2017,Industry,57600,,1106,2304,,,,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,Linux,Linux,None,16,Intel Xeon E5 (Broadwell),Inspur SA5212M4,Inspur Cluster,10G,10G Ethernet,Eastern Asia,Asia,50596,179223
373,235,,"Inspur SA5212H5, Xeon Platinum 8163 24C 2.5GHz, NVIDIA Tesla P100, 25G Ethernet",Internet Service A,Inspur,China,2017,Industry,39520,21280,1048,2014,,,,,,,,,Cluster,Xeon Platinum 8163 24C 2.5GHz,Intel Skylake,2500,CentOS,Linux,NVIDIA Tesla P100,24,Xeon Platinum,Inspur SA5212H5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50596,179293
374,237,,"Inspur NF5280M, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G Ethernet",Internet Service A,Inspur,China,2017,Industry,24000,22400,1042,2120,,,,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Inspur NF5280M,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50596,179381
375,238,,"Inspur NF5280M, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G Ethernet",Internet Service A,Inspur,China,2017,Industry,24000,22400,1042,2120,,,,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Inspur NF5280M,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50596,179380
376,244,,"Inspur SA5212H5, Xeon Platinum 8163 24C 2.5GHz, NVIDIA Tesla P100, 10G Ethernet",Internet Service A,Inspur,China,2017,Industry,57600,40320,1030,1908,,,,,,,,,Cluster,Xeon Platinum 8163 24C 2.5GHz,Intel Skylake,2500,CentOS,Linux,NVIDIA Tesla P100,24,Xeon Platinum,Inspur SA5212H5,Inspur Cluster,10G,10G Ethernet,Eastern Asia,Asia,50596,179292
377,250,,"Inspur SA5212H5, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G Ethernet",Internet Service A,Inspur,China,2017,Industry,27360,21280,1021,2014,,,,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Inspur SA5212H5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50596,179203
378,268,,"Inspur SA5212H5, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G Ethernet",Internet Service A,Inspur,China,2017,Industry,26208,20384,1004,1929,,,,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Inspur SA5212H5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50596,179206
379,269,,"Inspur SA5212H5, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G Ethernet",Internet Service A,Inspur,China,2017,Industry,26208,20384,1004,1929,,,,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Inspur SA5212H5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50596,179207
380,277,,"Inspur NF5280M, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G Ethernet",Internet Service A,Inspur,China,2017,Industry,21600,20160,988,1908,,,,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Inspur NF5280M,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50596,179379
381,278,,"Inspur SA5212M4, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet",Internet Service A,Inspur,China,2017,Industry,52800,,986,2112,,,,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,Linux,Linux,None,16,Intel Xeon E5 (Broadwell),Inspur SA5212M4,Inspur Cluster,10G,10G Ethernet,Eastern Asia,Asia,50596,179224
382,279,,"Inspur SA5212M4, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet",Internet Service A,Inspur,China,2017,Industry,52800,,986,2112,,,,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,Linux,Linux,None,16,Intel Xeon E5 (Broadwell),Inspur SA5212M4,Inspur Cluster,10G,10G Ethernet,Eastern Asia,Asia,50596,179248
383,283,,"Inspur SA5212M4, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet",Internet Service A,Inspur,China,2017,Industry,51200,,974,2048,,,,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,Linux,Linux,None,16,Intel Xeon E5 (Broadwell),Inspur SA5212M4,Inspur Cluster,10G,10G Ethernet,Eastern Asia,Asia,50596,179225
384,284,,"Inspur SA5212M4, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet",Internet Service A,Inspur,China,2017,Industry,51200,,974,2048,,,,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,Linux,Linux,None,16,Intel Xeon E5 (Broadwell),Inspur SA5212M4,Inspur Cluster,10G,10G Ethernet,Eastern Asia,Asia,50596,179226
385,299,,"Inspur SA5212H5, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G Ethernet",Internet Service A,Inspur,China,2017,Industry,21600,20160,944,1908,,,,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Inspur SA5212H5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50596,179209
386,300,,"Inspur SA5212H5, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G Ethernet",Internet Service A,Inspur,China,2017,Industry,21600,20160,944,1908,,,,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Inspur SA5212H5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50596,179208
387,306,,"Inspur NF5280M, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G Ethernet",Internet Service A,Inspur,China,2017,Industry,25920,20160,935,1908,,,,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Inspur NF5280M,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50596,179384
388,322,,"Inspur TS10000, Xeon Platinum 8163 24C 2.5GHz, NVIDIA Tesla V100, 25G Ethernet",Internet Service A,Inspur,China,2017,Industry,20640,19200,906,1800,,,,,,,,,Cluster,Xeon Platinum 8163 24C 2.5GHz,Intel Skylake,2500,CentOS,Linux,NVIDIA Tesla V100,24,Xeon Platinum,Inspur TS10000,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50596,179382
389,333,,"Inspur SA5212H5, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G Ethernet",Internet Service A,Inspur,China,2017,Industry,19200,17920,884,1696,,,,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Inspur SA5212H5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50596,179211
390,334,,"Inspur SA5212H5, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G Ethernet",Internet Service A,Inspur,China,2017,Industry,19200,17920,884,1696,,,,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Inspur SA5212H5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50596,179210
391,335,,"Inspur SA5212H5, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G Ethernet",Internet Service A,Inspur,China,2017,Industry,18240,17024,882,1611,,,,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Inspur SA5212H5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50596,179213
392,336,,"Inspur SA5212H5, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G Ethernet",Internet Service A,Inspur,China,2017,Industry,18240,17024,882,1611,,,,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Inspur SA5212H5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50596,179212
393,341,,"Inspur SA5212M4, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet",Internet Service A,Inspur,China,2017,Industry,45440,,875,1818,,,,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,Linux,Linux,None,16,Intel Xeon E5 (Broadwell),Inspur SA5212M4,Inspur Cluster,10G,10G Ethernet,Eastern Asia,Asia,50596,179228
394,342,,"Inspur SA5212M4, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet",Internet Service A,Inspur,China,2017,Industry,45440,,875,1818,,,,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,Linux,Linux,None,16,Intel Xeon E5 (Broadwell),Inspur SA5212M4,Inspur Cluster,10G,10G Ethernet,Eastern Asia,Asia,50596,179227
395,343,,"Inspur SA5212M4, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet",Internet Service A,Inspur,China,2017,Industry,44800,,874,1792,,,,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,Linux,Linux,None,16,Intel Xeon E5 (Broadwell),Inspur SA5212M4,Inspur Cluster,10G,10G Ethernet,Eastern Asia,Asia,50596,179229
396,344,Inspur TS10000 HPC Cluster System,"Inspur TS10000, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet",Internet Service A,Inspur,China,2017,Industry,44800,,874,1792,,,,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,None,16,Intel Xeon E5 (Broadwell),Inspur TS10000,Inspur Cluster,10G,10G Ethernet,Eastern Asia,Asia,50596,179120
397,345,,"Inspur TS10000, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet",Internet Service A,Inspur,China,2017,Industry,44800,,874,1792,,,,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,None,16,Intel Xeon E5 (Broadwell),Inspur TS10000,Inspur Cluster,10G,10G Ethernet,Eastern Asia,Asia,50596,179119
398,347,,"Inspur NF5280M, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 10G Ethernet",Internet Service A,Inspur,China,2017,Industry,19200,17920,869,1696,,,,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Inspur NF5280M,Inspur Cluster,10G,10G Ethernet,Eastern Asia,Asia,50596,179377
399,351,,"Inspur SA5212H5, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G Ethernet",Internet Service A,Inspur,China,2017,Industry,23040,17920,865,1696,,,,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Inspur SA5212H5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50596,179216
400,352,,"Inspur SA5212H5, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G Ethernet",Internet Service A,Inspur,China,2017,Industry,23040,17920,865,1696,,,,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Inspur SA5212H5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50596,179215
401,353,,"Inspur SA5212H5, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G Ethernet",Internet Service A,Inspur,China,2017,Industry,23040,17920,865,1696,,,,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Inspur SA5212H5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50596,179214
402,409,,"Inspur TS10000, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet, NVIDIA Tesla P100",Internet Service A,Inspur,China,2017,Industry,18432,16128,814,1463,,,,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Inspur TS10000,Inspur Cluster,10G,10G Ethernet,Eastern Asia,Asia,50596,179116
403,434,,"Inspur TS10000, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet, NVIDIA Tesla P100",Internet Service A,Inspur,China,2017,Industry,17920,15680,779,1422,,,,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Inspur TS10000,Inspur Cluster,10G,10G Ethernet,Eastern Asia,Asia,50596,179117
404,79,,"Inspur TS10000, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 25G Ethernet",Internet Service P,Inspur,China,2017,Industry,55104,52480,2287,4890,,,,,,,,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100,CentOS,Linux,NVIDIA Tesla V100,16,Xeon Gold,Inspur TS10000,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50759,179386
405,220,,"HP Apollo XL7x0f, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR",IT Service Provider,HPE,United States,2016,Industry,36288,,1085,1510,,,,,,,,,Cluster,Xeon E5-2697v3 14C 2.6GHz,Intel Haswell,2600,Linux,Linux,None,14,Intel Xeon E5 (Haswell),HP Apollo XL7x0f,HP Apollo,Infiniband,Infiniband FDR,North America,Americas,49688,179032
406,369,,"Cluster Platform DL360, Xeon E5-2660v3 10C 2.6GHz, 10G Ethernet",IT Services Provider ,HPE,United States,2016,Industry,33660,,839,1400,,,,,,,,,Cluster,Xeon E5-2660v3 10C 2.6GHz,Intel Haswell,2600,Linux,Linux,None,10,Intel Xeon E5 (Haswell),Cluster Platform DL360,HP Cluster Platform 3000,10G,10G Ethernet,North America,Americas,50374,179035
407,11,Nurion,"Cray CS500, Intel Xeon Phi 7250 68C 1.4GHz, Intel Omni-Path",Korea Institute of Science and Technology Information,Cray Inc.,"Korea, South",2018,Research,570020,,13929,25706,,,,,,,,,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,CentOS,Linux,None,68,Intel Xeon Phi,Cray CS500,Cray CS,Omnipath,Intel Omni-Path,Eastern Asia,Asia,50770,179421
408,172,,"Cray XC40, Xeon E5-2697v4 18C 2.3GHz, Aries interconnect ",Main Computing Center of Roshydromet,Cray Inc./T-Platforms,Russia,2018,Research,35136,,1200,1293,,,,,,,,,MPP,Xeon E5-2697v4 18C 2.3GHz,Intel Broadwell,2300,Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Eastern Europe,Europe,50769,179439
409,178,,"Apollo 6000 XL230k, Xeon Gold 6142 16C 2.6GHz, Infiniband EDR",Manufacturing Company,HPE,United States,2018,Industry,23808,,1181,1981,,,,,,,,,Cluster,Xeon Gold 6142 16C 2.6GHz,Intel Skylake,2600,Linux,Linux,None,16,Xeon Gold,Apollo 6000 XL230k,HP Apollo,Infiniband,Infiniband EDR,North America,Americas,50507,179430
410,424,DRACO,"Lenovo NeXtScale nx360M5, Xeon E5-2698v3 16C 2.3GHz, Infiniband FDR",Max-Planck-Gesellschaft MPI/IPP,Lenovo,Germany,2016,Research,28128,,791,1035,,,,,,,,,Cluster,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,Linux,Linux,None,16,Intel Xeon E5 (Haswell),Lenovo NeXtScale nx360 M5,Lenovo NeXtScale,Infiniband,Infiniband FDR,Western Europe,Europe,48331,178943
411,243,TX-Green,"S7200AP Cluster, Intel Xeon Phi 7210 64C 1.3GHz, Intel Omni-Path",MIT/Lincoln Laboratory,Dell EMC,United States,2016,Academic,41472,,1033,1725,,,,,,,,,Cluster,Intel Xeon Phi 7210 64C 1.3GHz,Intel Xeon Phi,1300,CentOS,Linux,None,64,Intel Xeon Phi,Intel S7200AP Cluster,Intel Cluster,Omnipath,Intel Omni-Path,North America,Americas,48296,178939
412,72,Lomonosov 2,"T-Platform A-Class Cluster, Xeon E5-2697v3 14C 2.6GHz,Intel Xeon Gold 6126, Infiniband FDR, Nvidia K40m/P-100",Moscow State University - Research Computing Center,T-Platforms,Russia,2014,Academic,64384,40960,2478,4947,,,,,,,,,Cluster,Xeon E5-2697v3 14C 2.6GHz,Intel Haswell,2600,Linux,Linux,NVIDIA Tesla K40m,14,Intel Xeon E5 (Haswell),T-Platforms A-Class Cluster,T-Platforms Cluster,Infiniband,Infiniband FDR,Eastern Europe,Europe,50104,178444
413,102,Raijin,"Hybrid Cluster PRIMERGY/x3550 M5/PowerEdge/Rackable/Rackable, Xeon , Infiniband EDR, NVIDIA Tesla P100, Xeon Phi",National Computational Infrastructure National Facility (NCI-NF),Fujitsu / Lenovo / Xenon,Australia,2012,Academic,87224,3984,1676,3801,,,,,,,,,Cluster,Xeon E5-2690v4 14C 2.6GHz,Intel Broadwell,2600,CentOS,Linux,NVIDIA Tesla P100,14,Intel Xeon E5 (Broadwell),Hybrid Cluster PRIMERGY/x3550 M5/PowerEdge/Rackable,Hybrid Cluster,Infiniband,Infiniband EDR,Australia and New Zealand,Oceania,47369,179115
414,321,Maui,"Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect ",National Institute of Water and Atmospheric Research,Cray Inc.,New Zealand,2018,Research,18560,,909,1425,,,,,,,,,MPP,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,Cray Linux Environment ,Linux,None,20,Xeon Gold,Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Australia and New Zealand,Oceania,48475,179420
415,88,Biowulf,"Apollo 2000 Gen 8/9, Xeon E5-2680v4/E5-2695v3 14C 2.4GHz, Infiniband FDR",National Institutes of Health (NIH),HPE,United States,2016,Research,66304,,1966,2491,,,,,,,,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,Linux,Linux,None,14,Intel Xeon E5 (Broadwell),Apollo 2000,HP Apollo,Infiniband,Infiniband FDR,North America,Americas,50698,179027
416,458,HPC4/HPC5,"SuperMicro Twin^2/2U GPU/T-Platforms V205 , Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR, NVIDIA Tesla K80","National Research Centre ""Kurchatov Institute""",SuperMicro/Mellanox,Russia,2018,Research,22700,11284,756,1268,,,,,,,,,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,CentOS,Linux,NVIDIA Tesla K80,12,Intel Xeon E5 (Haswell),SuperMicro Twin^2,Supermicro Cluster,Infiniband,Infiniband FDR,Eastern Europe,Europe,50615,178715
417,85,Gaffney,"HPE SGI 8600, Xeon Platinum 8168 24C 2.7GHz, Intel Omni-Path",Navy DSRC,HPE,United States,2018,Government,34560,,2002,2986,,,,,,,,,Cluster,Xeon Platinum 8168 24C 2.7GHz,Intel Skylake,2700,Red Hat Enterprise Linux,Linux,None,24,Xeon Platinum,HPE SGI 8600,HPE SGI 8600,Omnipath,Intel Omni-Path,North America,Americas,50425,179428
418,86,Koehr,"HPE SGI 8600, Xeon Platinum 8168 24C 2.7GHz, Intel Omni-Path",Navy DSRC,HPE,United States,2018,Government,34560,,2002,2986,,,,,,,,,Cluster,Xeon Platinum 8168 24C 2.7GHz,Intel Skylake,2700,Red Hat Enterprise Linux,Linux,None,24,Xeon Platinum,HPE SGI 8600,HPE SGI 8600,Omnipath,Intel Omni-Path,North America,Americas,50425,179427
419,367,Internet Company N B1,"Lenovo RD450, Xeon E5-2640v4 10C 2.4GHz, 10G Ethernet",Network Company,Lenovo,China,2017,Industry,48000,,841,1843,,,,,,,,,Cluster,Xeon E5-2640v4 10C 2.4GHz,Intel Broadwell,2400,Linux,Linux,None,10,Intel Xeon E5 (Broadwell),Lenovo RD450,Lenovo Cluster,10G,10G Ethernet,Eastern Asia,Asia,50177,179260
420,425,Internet Company N D1,"Lenovo RD350, Xeon E5-2630v4 10C 2.2GHz, 10G Ethernet",Network Company,Lenovo,China,2017,Industry,45600,,788,1605,,,,,,,,,Cluster,Xeon E5-2630v4 10C 2.2GHz,Intel Broadwell,2200,Linux,Linux,None,10,Intel Xeon E5 (Broadwell),Lenovo RD350,Lenovo Cluster,10G,10G Ethernet,Eastern Asia,Asia,50177,179369
421,435,Internet Company N D2,"Lenovo RD350, Xeon E5-2630v4 10C 2.2GHz, 10G Ethernet",Network Company,Lenovo,China,2018,Industry,45000,,778,1584,,,,,,,,,Cluster,Xeon E5-2630v4 10C 2.2GHz,Intel Broadwell,2200,Linux,Linux,None,10,Intel Xeon E5 (Broadwell),Lenovo RD350,Lenovo Cluster,10G,10G Ethernet,Eastern Asia,Asia,50177,179368
422,207,Mars,"PowerEdge C6320, Xeon E5-2690v4 14C 2.6GHz, Infiniband EDR",NOAA,Dell EMC / IBM-GBS,United States,2017,Research,33600,,1121,1398,,,,,,,,,Cluster,Xeon E5-2690v4 14C 2.6GHz,Intel Broadwell,2600,RHEL 7.2,Linux,None,14,Intel Xeon E5 (Broadwell),PowerEdge C6320,Dell PowerEdge Cluster,Infiniband,Infiniband EDR,North America,Americas,50739,179180
423,208,Venus,"PowerEdge C6320, Xeon E5-2690v4 14C 2.6GHz, Infiniband EDR",NOAA,Dell EMC / IBM-GBS,United States,2017,Research,33600,,1121,1398,,,,,,,,,Cluster,Xeon E5-2690v4 14C 2.6GHz,Intel Broadwell,2600,RHEL 7.2,Linux,None,14,Intel Xeon E5 (Broadwell),PowerEdge C6320,Dell PowerEdge Cluster,Infiniband,Infiniband EDR,North America,Americas,50738,179179
424,143,MN-1,"SuperServer 4028GR-TR2, Xeon E5-2667v4 8C 3.2GHz, Infiniband FDR, NVIDIA Tesla P100",NTT Communications Tokyo No.4 Data Center,NTT Comm. / NTT PC Comm.,Japan,2017,Industry,59392,57344,1391,4918,,,,,,,,,Cluster,Xeon E5-2667v4 8C 3.2GHz,Intel Broadwell,3200,Ubuntu Linux,Linux,NVIDIA Tesla P100,8,Intel Xeon E5 (Broadwell),SuperServer 4028GR-TR2,Supermicro SuperServer,Infiniband,Infiniband FDR,Eastern Asia,Asia,50737,179178
425,32,ITO - Subsystem A,"Fujitsu PRIMERGY CX2550/CX2560 M4, Xeon Gold 6154 18C 3GHz, Mellanox InfiniBand EDR","Research Institute for Information Technology, Kyushu University",Fujitsu,Japan,2018,Academic,72000,,4541,6912,,,,,,,,,Cluster,Xeon Gold 6154 18C 3GHz,Intel Skylake,3000,Redhat Enterprise Linux 7,Linux,None,18,Xeon Gold,Fujitsu PRIMERGY CX2550/CX2560 M4,Fujitsu PRIMERGY,Infiniband,Mellanox InfiniBand EDR,Eastern Asia,Asia,50421,179429
426,348,,"Apollo 6000 XL230a, Xeon E5-2683 v4  16C 2.1GHz, 10G Ethernet",Retail,HPE,United States,2016,Industry,46080,,869,1548,,,,,,,,,Cluster,Xeon E5-2683 v4  16C 2.1GHz,Intel Broadwell,2100,Linux,Linux,None,16,Intel Xeon E5 (Broadwell),Apollo 6000 XL230a,HP Apollo,10G,10G Ethernet,North America,Americas,50031,179034
427,452,,"Cluster Platform DL380, Xeon E5-2630v4 10C 2.2GHz, 10G Ethernet",Retailer (C),HPE,United States,2017,Industry,36500,,759,1285,,,,,,,,,Cluster,Xeon E5-2630v4 10C 2.2GHz,Intel Broadwell,2200,Linux,Linux,None,10,Intel Xeon E5 (Broadwell),Cluster Platform DL380,HP Cluster Platform 3000,10G,10G Ethernet,North America,Americas,49832,179154
428,453,,"Cluster Platform DL380, Xeon E5-2630v4 10C 2.2GHz, 10G Ethernet",Retailer (C),HPE,United States,2017,Industry,36500,,759,1285,,,,,,,,,Cluster,Xeon E5-2630v4 10C 2.2GHz,Intel Broadwell,2200,Linux,Linux,None,10,Intel Xeon E5 (Broadwell),Cluster Platform DL380,HP Cluster Platform 3000,10G,10G Ethernet,North America,Americas,49832,179153
429,450,,"HP Apollo XL1x0r, Xeon E5-2683 v4  16C 2.1GHz, Infiniband EDR",Service Provider,HPE,"Korea, South",2017,Industry,30720,,760,1032,,,,,,,,,Cluster,Xeon E5-2683 v4  16C 2.1GHz,Intel Broadwell,2100,Linux,Linux,None,16,Intel Xeon E5 (Broadwell),HP Apollo XL1x0r,HP Apollo,Infiniband,Infiniband EDR,Eastern Asia,Asia,50513,179152
430,454,,"Cluster Platform DL380, Xeon E5-2680v4 14C 2.4GHz, 10G Ethernet",Service Provider,HPE,"Korea, South",2017,Industry,32760,,757,1258,,,,,,,,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,Linux,Linux,None,14,Intel Xeon E5 (Broadwell),Cluster Platform DL380,HP Cluster Platform 3000,10G,10G Ethernet,Eastern Asia,Asia,50513,179155
431,471,,"Cluster Platform DL380, Xeon E5-2680v4 14C 2.4GHz, 10G Ethernet",Service Provider,HPE,"Korea, South",2017,Industry,32200,,744,1236,,,,,,,,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,Linux,Linux,None,14,Intel Xeon E5 (Broadwell),Cluster Platform DL380,HP Cluster Platform 3000,10G,10G Ethernet,Eastern Asia,Asia,50513,179156
